,building,day,end,original_time,room,start
2161,SMI,M,680,1030-1120,415C,630
2162,SMI,M,740,1130-1220,415C,690
2163,SMI,M,800,1230-120,415C,750
2164,SMI,T,620,930-1020,415C,570
2165,SMI,T,680,1030-1120,415C,630
2166,SMI,T,740,1130-1220,415C,690
2167,CDH,MW,950,230-350,109,870
2168,SMI,Th,860,130-220,407,810
2169,SMI,Th,920,230-320,404,870
2170,SMI,F,740,1130-1220,405,690
2171,SMI,F,800,1230-120,405,750
2172,MGH,TTh,680,930-1120,389,570
2173,SMI,F,620,930-1020,415C,570
2174,SMI,F,680,1030-1120,415C,630
2175,SMI,F,740,1130-1220,415C,690
2176,SMI,F,740,1130-1220,404,690
2177,SMI,F,800,1230-120,415C,750
2178,SMI,F,860,130-220,415C,810
2179,EXED,TTh,800,1130-120,110,690
2180,SMI,W,740,1130-1220,415C,690
2181,SAV,W,740,1130-1220,139,690
2182,SMI,W,800,1230-120,415C,750
2183,SAV,W,800,1230-120,162,750
2184,SMI,W,860,130-220,415C,810
2185,SAV,W,860,130-220,157,810
2186,SMI,MWF,620,930-1020,102,570
2187,SMI,MW,680,1030-1120,409,630
2188,SMI,MW,740,1130-1220,409,690
2189,SMI,MW,800,1230-120,409,750
2190,SMI,MW,860,130-220,409,810
2191,MEB,TTh,800,1130-120,248,690
2192,SMI,MWF,740,1130-1220,205,690
2193,SMI,TTh,680,1030-1120,401,630
2194,SMI,TTh,740,1130-1220,401,690
2195,SMI,MW,800,1230-120,401,750
2196,SMI,MW,860,130-220,401,810
2197,MEB,MW,920,130-320,246,810
2198,MEB,MW,920,130-320,246,810
2199,SMI,MW,680,930-1120,401,570
2200,CDH,MW,680,930-1120,125,570
2201,SAV,MWF,800,1230-120,166,750
2202,SMI,TTh,800,1230-120,401,750
2203,SMI,TTh,860,130-220,401,810
2204,SMI,M,1040,300-520,409,900
2205,SMI,W,1040,230-520,409,870
2206,SMI,Th,1040,230-520,409,870
2207,SAV,MWF,800,1230-120,166,750
2208,SMI,TTh,800,1230-120,401,750
2209,SMI,TTh,860,130-220,401,810
2210,SMI,F,1010,330-450,304,930
2211,DEN,MTWThF,560,830-920,111,510
2212,DEN,MTWThF,620,930-1020,111,570
2213,RAI,MTWThF,680,1030-1120,107,630
2214,SMI,MTWThF,740,1130-1220,107,690
2215,PAR,MTWThF,800,1230-120,213,750
2216,PAR,MTWThF,800,1230-120,313,750
2217,SAV,MTWThF,620,930-1020,155,570
2218,DEN,MTWThF,800,1230-120,359,750
2219,DEN,MWF,620,930-1020,210,570
2220,BAG,TTh,860,100-220,154,780
2221,BAG,TTh,860,100-220,154,780
